17700004012603522-201G6433997B,,,R70,,R2,,C158,,R69,,R3,,IC8,,IC3,,D11,,L5,,C150,,C100,
17700005512603522-203G6433997B,2020/07/20 11:36:51,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005522603522-204G6433997B,2020/07/20 11:36:51,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005532603522-201G6433997B,2020/07/20 11:37:23,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005542603522-202G6433997B,2020/07/20 11:37:23,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005552603522-203G6433997B,2020/07/20 11:37:23,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005562603522-204G6433997B,2020/07/20 11:37:23,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005572603522-201G6433997B,2020/07/20 11:39:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005582603522-202G6433997B,2020/07/20 11:39:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005592603522-203G6433997B,2020/07/20 11:39:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005602603522-204G6433997B,2020/07/20 11:39:26,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005612603522-201G6433997B,2020/07/20 11:40:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005622603522-202G6433997B,2020/07/20 11:40:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005632603522-203G6433997B,2020/07/20 11:40:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005642603522-204G6433997B,2020/07/20 11:40:06,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005652603522-201G6433997B,2020/07/20 11:41:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005662603522-202G6433997B,2020/07/20 11:41:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005672603522-203G6433997B,2020/07/20 11:41:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005682603522-204G6433997B,2020/07/20 11:41:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005692603522-201G6433997B,2020/07/20 11:42:29,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005702603522-202G6433997B,2020/07/20 11:42:29,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005712603522-203G6433997B,2020/07/20 11:42:29,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005722603522-204G6433997B,2020/07/20 11:42:29,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005732603522-201G6433997B,2020/07/20 11:43:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005742603522-202G6433997B,2020/07/20 11:43:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005752603522-203G6433997B,2020/07/20 11:43:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005762603522-204G6433997B,2020/07/20 11:43:09,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005772603522-201G6433997B,2020/07/20 11:43:50,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005782603522-202G6433997B,2020/07/20 11:43:50,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005792603522-203G6433997B,2020/07/20 11:43:50,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005802603522-204G6433997B,2020/07/20 11:43:50,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005812603522-201G6433997B,2020/07/20 11:44:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005822603522-202G6433997B,2020/07/20 11:44:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005832603522-203G6433997B,2020/07/20 11:44:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005842603522-204G6433997B,2020/07/20 11:44:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005852603522-201G6433997B,2020/07/20 11:45:27,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005862603522-202G6433997B,2020/07/20 11:45:27,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005872603522-203G6433997B,2020/07/20 11:45:27,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005882603522-204G6433997B,2020/07/20 11:45:27,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005892603522-201G6433997B,2020/07/20 11:46:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005902603522-202G6433997B,2020/07/20 11:46:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005912603522-203G6433997B,2020/07/20 11:46:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005922603522-204G6433997B,2020/07/20 11:46:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005932603522-201G6433997B,2020/07/20 11:46:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005942603522-202G6433997B,2020/07/20 11:46:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005952603522-203G6433997B,2020/07/20 11:46:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005962603522-204G6433997B,2020/07/20 11:46:48,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005972603522-201G6433997B,2020/07/20 11:47:28,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005982603522-202G6433997B,2020/07/20 11:47:28,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700005992603522-203G6433997B,2020/07/20 11:47:28,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700006002603522-204G6433997B,2020/07/20 11:47:28,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000372603522-201G6433997B,2020/07/20 11:48:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000382603522-202G6433997B,2020/07/20 11:48:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000392603522-203G6433997B,2020/07/20 11:48:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000402603522-204G6433997B,2020/07/20 11:48:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000252603522-201G6433997B,2020/07/20 11:48:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000262603522-202G6433997B,2020/07/20 11:48:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000272603522-203G6433997B,2020/07/20 11:48:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000282603522-204G6433997B,2020/07/20 11:48:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000012603522-201G6433997B,2020/07/20 11:49:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000022603522-202G6433997B,2020/07/20 11:49:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000032603522-203G6433997B,2020/07/20 11:49:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000042603522-204G6433997B,2020/07/20 11:49:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000052603522-201G6433997B,2020/07/20 11:50:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000062603522-202G6433997B,2020/07/20 11:50:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000072603522-203G6433997B,2020/07/20 11:50:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000082603522-204G6433997B,2020/07/20 11:50:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000092603522-201G6433997B,2020/07/20 11:51:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000102603522-202G6433997B,2020/07/20 11:51:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000112603522-203G6433997B,2020/07/20 11:51:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000122603522-204G6433997B,2020/07/20 11:51:18,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000132603522-201G6433997B,2020/07/20 11:51:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000142603522-202G6433997B,2020/07/20 11:51:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000152603522-203G6433997B,2020/07/20 11:51:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000162603522-204G6433997B,2020/07/20 11:51:59,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000172603522-201G6433997B,2020/07/20 11:52:39,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000182603522-202G6433997B,2020/07/20 11:52:39,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000192603522-203G6433997B,2020/07/20 11:52:39,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000202603522-204G6433997B,2020/07/20 11:52:39,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000212603522-201G6433997B,2020/07/20 11:53:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000222603522-202G6433997B,2020/07/20 11:53:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700000232603522-203G6433997B,2020/07/20 11:53:10,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0051862400103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
