17700004012603522-201G6433997B,,,R70,,R2,,C158,,R69,,R3,,IC8,,IC3,,D11,,L5,,C150,,C100,
17700004292603522-201G6433997B,2020/07/20 11:10:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004302603522-202G6433997B,2020/07/20 11:10:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004312603522-203G6433997B,2020/07/20 11:10:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004322603522-204G6433997B,2020/07/20 11:10:58,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004332603522-201G6433997B,2020/07/20 11:11:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004342603522-202G6433997B,2020/07/20 11:11:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004352603522-203G6433997B,2020/07/20 11:11:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004362603522-204G6433997B,2020/07/20 11:11:38,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004372603522-201G6433997B,2020/07/20 11:12:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004382603522-202G6433997B,2020/07/20 11:12:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004392603522-203G6433997B,2020/07/20 11:12:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004402603522-204G6433997B,2020/07/20 11:12:19,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004412603522-201G6433997B,2020/07/20 11:13:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004422603522-202G6433997B,2020/07/20 11:13:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004432603522-203G6433997B,2020/07/20 11:13:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004442603522-204G6433997B,2020/07/20 11:13:08,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004452603522-201G6433997B,2020/07/20 11:14:20,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004462603522-202G6433997B,2020/07/20 11:14:20,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004472603522-203G6433997B,2020/07/20 11:14:20,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004482603522-204G6433997B,2020/07/20 11:14:20,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAK1074522006HA,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004492603522-201G6433997B,2020/07/20 11:15:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004502603522-202G6433997B,2020/07/20 11:15:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004512603522-203G6433997B,2020/07/20 11:15:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004522603522-204G6433997B,2020/07/20 11:15:00,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004532603522-201G6433997B,2020/07/20 11:15:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004542603522-202G6433997B,2020/07/20 11:15:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004552603522-203G6433997B,2020/07/20 11:15:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004562603522-204G6433997B,2020/07/20 11:15:40,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004572603522-201G6433997B,2020/07/20 11:16:21,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004582603522-202G6433997B,2020/07/20 11:16:21,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004592603522-203G6433997B,2020/07/20 11:16:21,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004602603522-204G6433997B,2020/07/20 11:16:21,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004612603522-201G6433997B,2020/07/20 11:16:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004622603522-202G6433997B,2020/07/20 11:16:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004632603522-203G6433997B,2020/07/20 11:16:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004642603522-204G6433997B,2020/07/20 11:16:52,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004652603522-201G6433997B,2020/07/20 11:18:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004662603522-202G6433997B,2020/07/20 11:18:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004672603522-203G6433997B,2020/07/20 11:18:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
17700004682603522-204G6433997B,2020/07/20 11:18:05,OPERATOR2,3088427-7,3322T756,9432752-5,33273849,2282467-2,0041562410103,3088427-7,3322T756,9432753-3,34093926,2177978-9,1946 AK02163U,5361393-9,OAN109709200HAL,0180151-6,0479D,2177983-5,PZ0529Y766+S006,2221938-8,0050741610803,2282468-0,0041763120103
