id,typ,model,product_number,wo_no,surface,cnt,start_time,end_time,ct_duration,theory_ts,actual_ts,movable_rate,stops,stop_ts,fault_note,change_ts,gen_line
1,agg,,2603522-2,6433997B,B,600,2020/07/20 11:04:40,2020/07/20 13:11:18,0,,,,149,7598,,,EPS 3#
2,detail,,2603522-2,6433997B,B,,2020/07/20 11:04:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
3,detail,,2603522-2,6433997B,B,,2020/07/20 11:04:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
4,detail,,2603522-2,6433997B,B,,2020/07/20 11:04:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
5,detail,,2603522-2,6433997B,B,,2020/07/20 11:04:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
6,detail,,2603522-2,6433997B,B,,2020/07/20 11:05:52,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
7,detail,,2603522-2,6433997B,B,,2020/07/20 11:05:52,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
8,detail,,2603522-2,6433997B,B,,2020/07/20 11:05:52,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
9,detail,,2603522-2,6433997B,B,,2020/07/20 11:05:52,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
10,detail,,2603522-2,6433997B,B,,2020/07/20 11:06:27,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
11,detail,,2603522-2,6433997B,B,,2020/07/20 11:06:27,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
12,detail,,2603522-2,6433997B,B,,2020/07/20 11:06:27,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
13,detail,,2603522-2,6433997B,B,,2020/07/20 11:06:27,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
14,detail,,2603522-2,6433997B,B,,2020/07/20 11:07:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
15,detail,,2603522-2,6433997B,B,,2020/07/20 11:07:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
16,detail,,2603522-2,6433997B,B,,2020/07/20 11:07:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
17,detail,,2603522-2,6433997B,B,,2020/07/20 11:07:40,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
18,detail,,2603522-2,6433997B,B,,2020/07/20 11:08:25,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
19,detail,,2603522-2,6433997B,B,,2020/07/20 11:08:25,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
20,detail,,2603522-2,6433997B,B,,2020/07/20 11:08:25,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
21,detail,,2603522-2,6433997B,B,,2020/07/20 11:08:25,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
22,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:06,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
23,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:06,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
24,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:06,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
25,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:06,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
26,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:37,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
27,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:37,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
28,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:37,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
29,detail,,2603522-2,6433997B,B,,2020/07/20 11:09:37,2020/07/20 13:11:18,0,,,,,0,,,EPS 3#
